term_id,term_label,course_id,course_name,credits,bucket,prereq,coreq,min_grade,notes
Y1F,Year 1 Fall,IENG 1010,INTRO IND. ENG.,3,,,,,
Y1F,Year 1 Fall,MATH 1310,CALC I,4,,MATH 1230,,,ALEKS 76–100 or Precalc II C-
Y1F,Year 1 Fall,CHEM 1210,CHEMISTRY I,3,,,CHEM 1230L,,Co-req CHEM 1230L
Y1F,Year 1 Fall,CHEM 1230L,CHEM I LAB,1,,,CHEM 1210,,Co-req CHEM 1210
Y1F,Year 1 Fall,ENGL 1010,COL WRITING I,3,,,,,
Y1F,Year 1 Fall,GENED_SS,CORE CURR (SS),3,GENED_SS,,,,
Y1S,Year 1 Spring,MATH 1320,CALC II,4,,MATH 1310,,,
Y1S,Year 1 Spring,PHYS 1410,PHYSICS I,3,,MATH 1310,PHYS 1410L|MATH 1310,C-,Pre/Co with MATH 1310; Co-req PHYS 1410L
Y1S,Year 1 Spring,PHYS 1410L,PHYSICS I LAB,1,,PHYS 1410,PHYS 1410,,Co-req PHYS 1410
Y1S,Year 1 Spring,ENGL 1020,COL WRITING II,3,,ENGL 1010,,,
Y1S,Year 1 Spring,ECON 2010,PRIN. OF MICRO,3,GENED_SS,,,,
Y1S,Year 1 Spring,GENED_AH,CORE CURR (AH),3,GENED_AH,,,,
Y2F,Year 2 Fall,MECH 2010,CAD,2,,IENG 1010,,C-,
Y2F,Year 2 Fall,ENGN 2050,STATICS,3,,PHYS 1410,MATH 1320,C-,Co-req MATH 1320
Y2F,Year 2 Fall,MECH 2960,MATERIALS,3,,CHEM 1210|CHEM 1230L,,C-,ME/IE majors only
Y2F,Year 2 Fall,MATH 2310,CALC III,4,,MATH 1320,,,
Y2F,Year 2 Fall,PHYS 2450,PHYS OF MATTER,3,,PHYS 1410,MATH 1320|PHYS 2450L,,C- required in PHYS 1410
Y2F,Year 2 Fall,PHYS 2450L,PHYS OF MAT LAB,1,,,PHYS 2450,,Co-req PHYS 2450
Y2S,Year 2 Spring,MECH 2020,MANUFCT LAB,2,,MECH 2010,,C-,
Y2S,Year 2 Spring,ENGN 2060,STRGTH MATL,3,,ENGN 2050{C-},MATH 1320,C-,
Y2S,Year 2 Spring,ENGN 2070,DYNAMICS,3,,ENGN 2050{C-},MATH 1320,C-,
Y2S,Year 2 Spring,MATH 2210,LINEAR ALGEBRA I,3,,MATH 1320,,,
Y2S,Year 2 Spring,MATH 2340,DIFF EQS,3,,MATH 1320,,,
Y2S,Year 2 Spring,PHIL 3340,ETHICS (AH),3,,,,,
Y2S,Year 2 Spring,PHIL 2030,ETHICS (AH) ALT,3,,,,,
Y3F,Year 3 Fall,EECE 2160,ECE APPL. PROGRAM,3,,PHYS 1410|MATH 1320,,,
Y3F,Year 3 Fall,IENG 3010,DETERM. MOD. & ANAL.,3,,MATH 2310,MATH 2340,,
Y3F,Year 3 Fall,IENG 3030,MANUFCT PROCESS,3,,MECH 2960,MECH 2020,,
Y3F,Year 3 Fall,MATH 3860,PROB. & STATS I,3,,MATH 1320,,,
Y3F,Year 3 Fall,GENED_SS,CORE CURR (SS),3,GENED_SS,,,,
Y3S,Year 3 Spring,EECE 2650,LOGIC DESIGN,3,,EECE 2160,,,
Y3S,Year 3 Spring,EECE 3170,MICRO. SYS. DES. I,3,,EECE 2650,,,
Y3S,Year 3 Spring,IENG 3020,STOCH. MOD. & ANAL.,3,,IENG 3010,MATH 3860,,
Y3S,Year 3 Spring,POMS 3010,OPER. MNGMT.,3,,IENG 3030,,,
Y3S,Year 3 Spring,GENED_AH,CORE CURR (AH),3,GENED_AH,,,,
Y4F,Year 4 Fall,BMEN 4300,OCCUP. ERGONOMICS,3,,MATH 3860|IENG 3030,,,
Y4F,Year 4 Fall,ENGN 4019,ENGN. CAPSTONE DESIGN PROP.,1,,Senior_Status,,,
Y4F,Year 4 Fall,IENG 4010,AUTOMATION & CONTROL,3,,EECE 2650|EECE 3170,,,
Y4F,Year 4 Fall,POMS 4050,PREDICT. DATA ANAL.,3,,MATH 3860,,,
Y4F,Year 4 Fall,ME_TECH_ELEC,TECHNICAL ELECTIVE,3,TechElective,,,,
Y4S,Year 4 Spring,ENGN 4020,CAPSTONE DESIGN PROJ.,3,,ENGN 4019,,,
Y4S,Year 4 Spring,IENG 4040,MANUFCT SYS. AUTO.,3,,IENG 4010,,,
Y4S,Year 4 Spring,IENG 4041,MANUFCT SYS. AUTO. LAB,1,,IENG 4040,,,
Y4S,Year 4 Spring,IENG 4080,HUM-MACH. SYS. DESIGN,3,,BMEN 4300,,,
Y4S,Year 4 Spring,GENED_TECH,TECHNICAL ELECTIVE,3,TechElective,,,,
Y4S,Year 4 Spring,GENED_MGMT,MGMT OR TECHNICAL ELECT.,3,TechElective,,,,
